date,epiyear,epiweek,location,flu.admits
2022-10-08,2022,40,02,3
2022-10-15,2022,41,02,2
2022-10-22,2022,42,02,3
2022-10-29,2022,43,02,14
2022-11-05,2022,44,02,10
2022-11-12,2022,45,02,20
2022-11-19,2022,46,02,38
2022-11-26,2022,47,02,66
2022-12-03,2022,48,02,58
2022-12-10,2022,49,02,77
2022-12-17,2022,50,02,45
2022-12-24,2022,51,02,40
2022-12-31,2022,52,02,44
2023-01-07,2023,1,02,29
2023-01-14,2023,2,02,6
2023-01-21,2023,3,02,9
2023-01-28,2023,4,02,3
2023-02-04,2023,5,02,3
2023-02-11,2023,6,02,1
2023-02-18,2023,7,02,3
2023-02-25,2023,8,02,4
2023-03-04,2023,9,02,3
2023-03-11,2023,10,02,3
2023-03-18,2023,11,02,1
2023-03-25,2023,12,02,4
2023-04-01,2023,13,02,0
2023-04-08,2023,14,02,2
2023-04-15,2023,15,02,2
2023-04-22,2023,16,02,1
2023-04-29,2023,17,02,0
2023-05-06,2023,18,02,6
2023-05-13,2023,19,02,0
2023-05-20,2023,20,02,0
2023-05-27,2023,21,02,2
2022-02-12,2022,6,04,63
2022-02-19,2022,7,04,66
2022-02-26,2022,8,04,72
2022-03-05,2022,9,04,91
2022-03-12,2022,10,04,85
2022-03-19,2022,11,04,113
2022-03-26,2022,12,04,131
2022-04-02,2022,13,04,108
2022-04-09,2022,14,04,112
2022-04-16,2022,15,04,101
2022-04-23,2022,16,04,147
2022-04-30,2022,17,04,162
2022-05-07,2022,18,04,176
2022-05-14,2022,19,04,212
2022-05-21,2022,20,04,237
2022-05-28,2022,21,04,196
2022-06-04,2022,22,04,204
2022-06-11,2022,23,04,87
2022-06-18,2022,24,04,52
2022-06-25,2022,25,04,41
2022-07-02,2022,26,04,13
2022-07-09,2022,27,04,15
2022-07-16,2022,28,04,13
2022-07-23,2022,29,04,19
2022-07-30,2022,30,04,21
2022-08-06,2022,31,04,11
2022-08-13,2022,32,04,11
2022-08-20,2022,33,04,18
2022-08-27,2022,34,04,16
2022-09-03,2022,35,04,16
2022-09-10,2022,36,04,5
2022-09-17,2022,37,04,7
2022-09-24,2022,38,04,9
2022-10-01,2022,39,04,10
2022-10-08,2022,40,04,18
2022-10-15,2022,41,04,14
2022-10-22,2022,42,04,22
2022-10-29,2022,43,04,34
2022-11-05,2022,44,04,84
2022-11-12,2022,45,04,153
2022-11-19,2022,46,04,339
2022-11-26,2022,47,04,612
2022-12-03,2022,48,04,821
2022-12-10,2022,49,04,759
2022-12-17,2022,50,04,563
2022-12-24,2022,51,04,604
2022-12-31,2022,52,04,656
2023-01-07,2023,1,04,350
2023-01-14,2023,2,04,140
2023-01-21,2023,3,04,112
2023-01-28,2023,4,04,50
2023-02-04,2023,5,04,71
2023-02-11,2023,6,04,52
2023-02-18,2023,7,04,38
2023-02-25,2023,8,04,53
2023-03-04,2023,9,04,47
2023-03-11,2023,10,04,49
2023-03-18,2023,11,04,54
2023-03-25,2023,12,04,42
2023-04-01,2023,13,04,40
2023-04-08,2023,14,04,68
2023-04-15,2023,15,04,89
2023-04-22,2023,16,04,78
2023-04-29,2023,17,04,77
2023-05-06,2023,18,04,68
2023-05-13,2023,19,04,80
2023-05-20,2023,20,04,103
2023-05-27,2023,21,04,110
2022-02-12,2022,6,05,24
2022-02-19,2022,7,05,32
2022-02-26,2022,8,05,42
2022-03-05,2022,9,05,58
2022-03-12,2022,10,05,62
2022-03-19,2022,11,05,67
2022-03-26,2022,12,05,89
2022-04-02,2022,13,05,59
2022-04-09,2022,14,05,83
2022-04-16,2022,15,05,50
2022-04-23,2022,16,05,37
2022-04-30,2022,17,05,32
2022-05-07,2022,18,05,23
2022-05-14,2022,19,05,22
2022-05-21,2022,20,05,16
2022-05-28,2022,21,05,16
2022-06-04,2022,22,05,21
2022-06-11,2022,23,05,20
2022-06-18,2022,24,05,13
2022-06-25,2022,25,05,16
2022-07-02,2022,26,05,11
2022-07-09,2022,27,05,6
2022-07-16,2022,28,05,21
2022-07-23,2022,29,05,14
2022-07-30,2022,30,05,5
2022-08-06,2022,31,05,8
2022-08-13,2022,32,05,7
2022-08-20,2022,33,05,4
2022-08-27,2022,34,05,3
2022-09-03,2022,35,05,8
2022-09-10,2022,36,05,6
2022-09-17,2022,37,05,4
2022-09-24,2022,38,05,8
2022-10-01,2022,39,05,10
2022-10-08,2022,40,05,21
2022-10-15,2022,41,05,40
2022-10-22,2022,42,05,50
2022-10-29,2022,43,05,84
2022-11-05,2022,44,05,141
2022-11-12,2022,45,05,212
2022-11-19,2022,46,05,218
2022-11-26,2022,47,05,435
2022-12-03,2022,48,05,468
2022-12-10,2022,49,05,331
2022-12-17,2022,50,05,234
2022-12-24,2022,51,05,189
2022-12-31,2022,52,05,217
2023-01-07,2023,1,05,146
2023-01-14,2023,2,05,98
2023-01-21,2023,3,05,61
2023-01-28,2023,4,05,30
2023-02-04,2023,5,05,21
2023-02-11,2023,6,05,35
2023-02-18,2023,7,05,25
2023-02-25,2023,8,05,32
2023-03-04,2023,9,05,33
2023-03-11,2023,10,05,18
2023-03-18,2023,11,05,14
2023-03-25,2023,12,05,22
2023-04-01,2023,13,05,24
2023-04-08,2023,14,05,16
2023-04-15,2023,15,05,16
2023-04-22,2023,16,05,8
2023-04-29,2023,17,05,11
2023-05-06,2023,18,05,9
2023-05-13,2023,19,05,14
2023-05-20,2023,20,05,8
2023-05-27,2023,21,05,11
2022-02-12,2022,6,06,34
2022-02-19,2022,7,06,18
2022-02-26,2022,8,06,34
2022-03-05,2022,9,06,32
2022-03-12,2022,10,06,45
2022-03-19,2022,11,06,57
2022-03-26,2022,12,06,63
2022-04-02,2022,13,06,84
2022-04-09,2022,14,06,106
2022-04-16,2022,15,06,100
2022-04-23,2022,16,06,165
2022-04-30,2022,17,06,218
2022-05-07,2022,18,06,202
2022-05-14,2022,19,06,308
2022-05-21,2022,20,06,386
2022-05-28,2022,21,06,405
2022-06-04,2022,22,06,453
2022-06-11,2022,23,06,397
2022-06-18,2022,24,06,304
2022-06-25,2022,25,06,238
2022-07-02,2022,26,06,192
2022-07-09,2022,27,06,122
2022-07-16,2022,28,06,102
2022-07-23,2022,29,06,64
2022-07-30,2022,30,06,46
2022-08-06,2022,31,06,39
2022-08-13,2022,32,06,38
2022-08-20,2022,33,06,39
2022-08-27,2022,34,06,33
2022-09-03,2022,35,06,35
2022-09-10,2022,36,06,29
2022-09-17,2022,37,06,24
2022-09-24,2022,38,06,35
2022-10-01,2022,39,06,72
2022-10-08,2022,40,06,93
2022-10-15,2022,41,06,97
2022-10-22,2022,42,06,124
2022-10-29,2022,43,06,211
2022-11-05,2022,44,06,456
2022-11-12,2022,45,06,928
2022-11-19,2022,46,06,1616
2022-11-26,2022,47,06,2790
2022-12-03,2022,48,06,3138
2022-12-10,2022,49,06,2275
2022-12-17,2022,50,06,1576
2022-12-24,2022,51,06,1580
2022-12-31,2022,52,06,1384
2023-01-07,2023,1,06,855
2023-01-14,2023,2,06,354
2023-01-21,2023,3,06,198
2023-01-28,2023,4,06,116
2023-02-04,2023,5,06,116
2023-02-11,2023,6,06,91
2023-02-18,2023,7,06,70
2023-02-25,2023,8,06,82
2023-03-04,2023,9,06,59
2023-03-11,2023,10,06,49
2023-03-18,2023,11,06,58
2023-03-25,2023,12,06,32
2023-04-01,2023,13,06,34
2023-04-08,2023,14,06,39
2023-04-15,2023,15,06,37
2023-04-22,2023,16,06,33
2023-04-29,2023,17,06,25
2023-05-06,2023,18,06,21
2023-05-13,2023,19,06,36
2023-05-20,2023,20,06,23
2023-05-27,2023,21,06,30
2022-02-12,2022,6,08,27
2022-02-19,2022,7,08,22
2022-02-26,2022,8,08,27
2022-03-05,2022,9,08,25
2022-03-12,2022,10,08,42
2022-03-19,2022,11,08,60
2022-03-26,2022,12,08,94
2022-04-02,2022,13,08,117
2022-04-09,2022,14,08,105
2022-04-16,2022,15,08,146
2022-04-23,2022,16,08,187
2022-04-30,2022,17,08,168
2022-05-07,2022,18,08,260
2022-05-14,2022,19,08,171
2022-05-21,2022,20,08,110
2022-05-28,2022,21,08,91
2022-06-04,2022,22,08,72
2022-06-11,2022,23,08,33
2022-06-18,2022,24,08,27
2022-06-25,2022,25,08,9
2022-07-02,2022,26,08,14
2022-07-09,2022,27,08,11
2022-07-16,2022,28,08,11
2022-07-23,2022,29,08,8
2022-07-30,2022,30,08,9
2022-08-06,2022,31,08,14
2022-08-13,2022,32,08,8
2022-08-20,2022,33,08,11
2022-08-27,2022,34,08,1
2022-09-03,2022,35,08,1
2022-09-10,2022,36,08,3
2022-09-17,2022,37,08,3
2022-09-24,2022,38,08,4
2022-10-01,2022,39,08,3
