forecast_date,target,target_end_date,location,type,quantile,value
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.750,239
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.750,275
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.750,294
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.800,203
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.800,276
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.800,318
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.800,342
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.850,233
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.850,319
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.850,368
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.850,397
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.900,271
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.900,374
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.900,432
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.900,466
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.950,327
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.950,454
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.950,526
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.950,569
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.975,376
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.975,524
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.975,608
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.975,658
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.990,433
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.990,606
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.990,702
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.990,762
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,point,NA,14
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,point,NA,16
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,point,NA,17
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,point,NA,16
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.010,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.010,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.010,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.010,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.025,0
